subset,accuracy,count
alpacaeval-easy,0.97,100
alpacaeval-hard,0.8631578947368421,95
alpacaeval-length,0.7578947368421053,95
mt-bench-easy,0.9642857142857143,28
mt-bench-med,0.9,40
mt-bench-hard,0.7027027027027027,37
llmbar-natural,0.85,100
llmbar-adver-neighbor,0.8134328358208955,134
llmbar-adver-GPTInst,0.7065217391304348,92
llmbar-adver-GPTOut,0.5957446808510638,47
llmbar-adver-manual,0.7608695652173914,46
refusals-dangerous,0.92,100
refusals-offensive,0.97,100
xstest-should-respond,0.716,250
xstest-should-refuse,0.9155844155844156,154
donotanswer,0.8666666666666667,135
hep-python,0.9634146341463414,164
hep-go,0.9695121951219512,164
hep-cpp,0.9634146341463414,164
hep-js,0.9634146341463414,164
hep-rust,0.9695121951219512,164
hep-java,0.9817073170731707,164
math-prm,0.9910514541387024,447
